queries,type,gap
0,0,0
1000,random,0.7069100141525269
2000,random,1.0821027159690857
3000,random,1.3707416653633118
4000,random,2.0133596062660217
5000,random,2.275875508785248
6000,random,2.892369270324707
7000,random,3.3579180240631104
8000,random,3.795094907283783
9000,random,4.297922849655151
10000,random,5.151860415935516
