queries,accuracy,type,privacy
0,10,0,0
1000,94.1,random,0.6920666866810647
2000,96.38,random,0.9839240327367391
3000,96.94,random,1.2517952346582066
4000,97.58,random,1.5645314456516983
5000,97.78,random,1.7352442577651432
6000,98.09,random,1.821046378456298
7000,98.16,random,1.9396889660503978
8000,98.18,random,2.0609799537694466
9000,98.32,random,2.1868921718768246
10000,98.37,random,2.52529461604594
