queries,type,pknn
0,0,0
1000,random,0.6920666866810647
2000,random,0.9839240327367391
3000,random,1.2517952346582066
4000,random,1.5645314456516983
5000,random,1.7352442577651432
6000,random,1.821046378456298
7000,random,1.9396889660503978
8000,random,2.0609799537694466
9000,random,2.1868921718768246
10000,random,2.52529461604594
