queries,type,entropy
0,0,0
1000,random,0.7771190404891968
2000,random,1.309058964252472
3000,random,1.7669566869735718
4000,random,2.5646263360977173
5000,random,3.022977888584137
6000,random,3.8554375171661377
7000,random,4.609646201133728
8000,random,5.170358896255493
9000,random,5.872301816940308
10000,random,6.978017687797546
