queries,type,gap
0,0,0
1000,random,31.449914932250977
2000,random,63.359575271606445
3000,random,89.04394149780273
4000,random,117.86005020141602
5000,random,145.3845729827881
6000,random,172.41013526916504
7000,random,198.01228523254395
8000,random,226.55743217468262
9000,random,255.38219261169434
