queries,accuracy,type,privacy
0,10,0,0
1000,36.0,random,1.5655784885749013
2000,39.5,random,2.321445620834803
3000,42.0,random,2.8971543903741193
4000,48.8,random,3.7070723550939624
5000,53.6,random,4.51691009704657
6000,55.9,random,5.039750151739294
7000,56.4,random,5.463934253188336
8000,57.0,random,6.02324761948076
9000,60.7,random,6.584348057650118
