queries,type,entropy
0,0,0
1000,random,23.555307388305664
2000,random,47.50432205200195
3000,random,67.05841636657715
4000,random,89.4511890411377
5000,random,111.33748054504395
6000,random,131.93299293518066
7000,random,151.9926929473877
8000,random,173.79547500610352
9000,random,196.34219360351562
